待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 11570/17922 | 输入 1759857 tok | 输出 1341946 tok | 费用 ¥4.4437 | 1307s
进度 11580/17922 | 输入 1760885 tok | 输出 1342663 tok | 费用 ¥4.4462 | 1308s
进度 11590/17922 | 输入 1761631 tok | 输出 1343113 tok | 费用 ¥4.4479 | 1309s
进度 11600/17922 | 输入 1762376 tok | 输出 1343575 tok | 费用 ¥4.4495 | 1310s
进度 11610/17922 | 输入 1763147 tok | 输出 1344010 tok | 费用 ¥4.4512 | 1310s
进度 11620/17922 | 输入 1763978 tok | 输出 1344511 tok | 费用 ¥4.4530 | 1310s
进度 11630/17922 | 输入 1765425 tok | 输出 1345592 tok | 费用 ¥4.4566 | 1312s
进度 11640/17922 | 输入 1766222 tok | 输出 1346096 tok | 费用 ¥4.4584 | 1312s
进度 11650/17922 | 输入 1767184 tok | 输出 1346753 tok | 费用 ¥4.4607 | 1314s
进度 11660/17922 | 输入 1768319 tok | 输出 1347605 tok | 费用 ¥4.4635 | 1314s
进度 11670/17922 | 输入 1769197 tok | 输出 1348162 tok | 费用 ¥4.4655 | 1315s
进度 11680/17922 | 输入 1770500 tok | 输出 1349138 tok | 费用 ¥4.4688 | 1316s
进度 11690/17922 | 输入 1771965 tok | 输出 1350350 tok | 费用 ¥4.4727 | 1318s
进度 11700/17922 | 输入 1773528 tok | 输出 1351531 tok | 费用 ¥4.4766 | 1319s
进度 11710/17922 | 输入 1775533 tok | 输出 1353276 tok | 费用 ¥4.4821 | 1323s
进度 11720/17922 | 输入 1777194 tok | 输出 1354615 tok | 费用 ¥4.4864 | 1324s
进度 11730/17922 | 输入 1779367 tok | 输出 1356327 tok | 费用 ¥4.4920 | 1324s
进度 11740/17922 | 输入 1781435 tok | 输出 1357878 tok | 费用 ¥4.4972 | 1325s
进度 11750/17922 | 输入 1783155 tok | 输出 1359219 tok | 费用 ¥4.5016 | 1327s
进度 11760/17922 | 输入 1785187 tok | 输出 1360858 tok | 费用 ¥4.5069 | 1328s
进度 11770/17922 | 输入 1786310 tok | 输出 1361623 tok | 费用 ¥4.5096 | 1329s
进度 11780/17922 | 输入 1787156 tok | 输出 1362164 tok | 费用 ¥4.5115 | 1329s
进度 11790/17922 | 输入 1788624 tok | 输出 1363286 tok | 费用 ¥4.5152 | 1331s
进度 11800/17922 | 输入 1789605 tok | 输出 1363942 tok | 费用 ¥4.5175 | 1333s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 2527 (char 2526); 1s 后重试
进度 11810/17922 | 输入 1790352 tok | 输出 1364375 tok | 费用 ¥4.5191 | 1334s
进度 11820/17922 | 输入 1791633 tok | 输出 1365367 tok | 费用 ¥4.5224 | 1335s
进度 11830/17922 | 输入 1792386 tok | 输出 1365813 tok | 费用 ¥4.5240 | 1336s
进度 11840/17922 | 输入 1795076 tok | 输出 1368183 tok | 费用 ¥4.5314 | 1336s
进度 11850/17922 | 输入 1797106 tok | 输出 1369814 tok | 费用 ¥4.5367 | 1337s
进度 11860/17922 | 输入 1798002 tok | 输出 1370423 tok | 费用 ¥4.5388 | 1338s
进度 11870/17922 | 输入 1798815 tok | 输出 1370937 tok | 费用 ¥4.5407 | 1340s
进度 11880/17922 | 输入 1800017 tok | 输出 1371848 tok | 费用 ¥4.5437 | 1341s
进度 11890/17922 | 输入 1801370 tok | 输出 1372927 tok | 费用 ¥4.5472 | 1341s
进度 11900/17922 | 输入 1802988 tok | 输出 1374100 tok | 费用 ¥4.5512 | 1342s
进度 11910/17922 | 输入 1803923 tok | 输出 1374731 tok | 费用 ¥4.5534 | 1342s
进度 11920/17922 | 输入 1805311 tok | 输出 1375833 tok | 费用 ¥4.5570 | 1343s
进度 11930/17922 | 输入 1806085 tok | 输出 1376306 tok | 费用 ¥4.5587 | 1343s
进度 11940/17922 | 输入 1806937 tok | 输出 1376854 tok | 费用 ¥4.5606 | 1345s
进度 11950/17922 | 输入 1808152 tok | 输出 1377771 tok | 费用 ¥4.5637 | 1345s
进度 11960/17922 | 输入 1809204 tok | 输出 1378560 tok | 费用 ¥4.5663 | 1346s
进度 11970/17922 | 输入 1810719 tok | 输出 1379747 tok | 费用 ¥4.5702 | 1348s
进度 11980/17922 | 输入 1811769 tok | 输出 1380483 tok | 费用 ¥4.5727 | 1348s
进度 11990/17922 | 输入 1812686 tok | 输出 1381062 tok | 费用 ¥4.5748 | 1349s
进度 12000/17922 | 输入 1814038 tok | 输出 1382124 tok | 费用 ¥4.5783 | 1350s
进度 12010/17922 | 输入 1815188 tok | 输出 1382948 tok | 费用 ¥4.5811 | 1351s
进度 12020/17922 | 输入 1816559 tok | 输出 1384002 tok | 费用 ¥4.5846 | 1352s
进度 12030/17922 | 输入 1817377 tok | 输出 1384539 tok | 费用 ¥4.5865 | 1353s
进度 12040/17922 | 输入 1818691 tok | 输出 1385523 tok | 费用 ¥4.5897 | 1353s
进度 12050/17922 | 输入 1820080 tok | 输出 1386539 tok | 费用 ¥4.5932 | 1354s
进度 12060/17922 | 输入 1821226 tok | 输出 1387362 tok | 费用 ¥4.5960 | 1354s
进度 12070/17922 | 输入 1822350 tok | 输出 1388198 tok | 费用 ¥4.5987 | 1356s
进度 12080/17922 | 输入 1823365 tok | 输出 1388905 tok | 费用 ¥4.6012 | 1357s
进度 12090/17922 | 输入 1824348 tok | 输出 1389520 tok | 费用 ¥4.6034 | 1358s
进度 12100/17922 | 输入 1825839 tok | 输出 1390621 tok | 费用 ¥4.6071 | 1360s
进度 12110/17922 | 输入 1827153 tok | 输出 1391610 tok | 费用 ¥4.6104 | 1362s
进度 12120/17922 | 输入 1828618 tok | 输出 1392726 tok | 费用 ¥4.6141 | 1363s
进度 12130/17922 | 输入 1830160 tok | 输出 1393906 tok | 费用 ¥4.6180 | 1364s
进度 12140/17922 | 输入 1832672 tok | 输出 1396100 tok | 费用 ¥4.6249 | 1366s
进度 12150/17922 | 输入 1835333 tok | 输出 1398401 tok | 费用 ¥4.6321 | 1367s
进度 12160/17922 | 输入 1837031 tok | 输出 1399743 tok | 费用 ¥4.6365 | 1367s
进度 12170/17922 | 输入 1839042 tok | 输出 1401385 tok | 费用 ¥4.6418 | 1372s
进度 12180/17922 | 输入 1840091 tok | 输出 1402166 tok | 费用 ¥4.6444 | 1372s
进度 12190/17922 | 输入 1841411 tok | 输出 1403099 tok | 费用 ¥4.6476 | 1373s
进度 12200/17922 | 输入 1843368 tok | 输出 1404692 tok | 费用 ¥4.6528 | 1375s
进度 12210/17922 | 输入 1846283 tok | 输出 1407164 tok | 费用 ¥4.6606 | 1378s
进度 12220/17922 | 输入 1849176 tok | 输出 1409617 tok | 费用 ¥4.6684 | 1379s
进度 12230/17922 | 输入 1851152 tok | 输出 1411253 tok | 费用 ¥4.6737 | 1381s
进度 12240/17922 | 输入 1853069 tok | 输出 1412772 tok | 费用 ¥4.6786 | 1384s
进度 12250/17922 | 输入 1855665 tok | 输出 1414889 tok | 费用 ¥4.6854 | 1384s
进度 12260/17922 | 输入 1856610 tok | 输出 1415533 tok | 费用 ¥4.6877 | 1385s
进度 12270/17922 | 输入 1859530 tok | 输出 1417977 tok | 费用 ¥4.6955 | 1386s
进度 12280/17922 | 输入 1860232 tok | 输出 1418382 tok | 费用 ¥4.6970 | 1387s
进度 12290/17922 | 输入 1861972 tok | 输出 1419812 tok | 费用 ¥4.7016 | 1387s
进度 12300/17922 | 输入 1864172 tok | 输出 1421584 tok | 费用 ¥4.7073 | 1388s
进度 12310/17922 | 输入 1865479 tok | 输出 1422576 tok | 费用 ¥4.7106 | 1390s
进度 12320/17922 | 输入 1866717 tok | 输出 1423438 tok | 费用 ¥4.7136 | 1390s
进度 12330/17922 | 输入 1867801 tok | 输出 1424232 tok | 费用 ¥4.7163 | 1390s
进度 12340/17922 | 输入 1869053 tok | 输出 1425233 tok | 费用 ¥4.7195 | 1393s
进度 12350/17922 | 输入 1870514 tok | 输出 1426414 tok | 费用 ¥4.7233 | 1394s
进度 12360/17922 | 输入 1871569 tok | 输出 1427164 tok | 费用 ¥4.7259 | 1394s
进度 12370/17922 | 输入 1872626 tok | 输出 1427959 tok | 费用 ¥4.7285 | 1394s
进度 12380/17922 | 输入 1873926 tok | 输出 1428961 tok | 费用 ¥4.7318 | 1395s
进度 12390/17922 | 输入 1875790 tok | 输出 1430673 tok | 费用 ¥4.7371 | 1397s
进度 12400/17922 | 输入 1876769 tok | 输出 1431378 tok | 费用 ¥4.7395 | 1397s
进度 12410/17922 | 输入 1877901 tok | 输出 1432206 tok | 费用 ¥4.7423 | 1399s
进度 12420/17922 | 输入 1879350 tok | 输出 1433322 tok | 费用 ¥4.7460 | 1400s
进度 12430/17922 | 输入 1880749 tok | 输出 1434415 tok | 费用 ¥4.7496 | 1400s
进度 12440/17922 | 输入 1881774 tok | 输出 1435075 tok | 费用 ¥4.7519 | 1401s
进度 12450/17922 | 输入 1882607 tok | 输出 1435589 tok | 费用 ¥4.7538 | 1404s
进度 12460/17922 | 输入 1883513 tok | 输出 1436193 tok | 费用 ¥4.7559 | 1404s
进度 12470/17922 | 输入 1886180 tok | 输出 1438455 tok | 费用 ¥4.7631 | 1406s
进度 12480/17922 | 输入 1888255 tok | 输出 1440171 tok | 费用 ¥4.7686 | 1407s
进度 12490/17922 | 输入 1889970 tok | 输出 1441538 tok | 费用 ¥4.7730 | 1409s
进度 12500/17922 | 输入 1891369 tok | 输出 1442619 tok | 费用 ¥4.7766 | 1409s
进度 12510/17922 | 输入 1893517 tok | 输出 1444333 tok | 费用 ¥4.7822 | 1410s
进度 12520/17922 | 输入 1895059 tok | 输出 1445515 tok | 费用 ¥4.7861 | 1410s
进度 12530/17922 | 输入 1896689 tok | 输出 1446770 tok | 费用 ¥4.7902 | 1414s
进度 12540/17922 | 输入 1897968 tok | 输出 1447713 tok | 费用 ¥4.7934 | 1415s
进度 12550/17922 | 输入 1899336 tok | 输出 1448729 tok | 费用 ¥4.7968 | 1416s
进度 12560/17922 | 输入 1901839 tok | 输出 1450778 tok | 费用 ¥4.8034 | 1417s
进度 12570/17922 | 输入 1903597 tok | 输出 1452110 tok | 费用 ¥4.8078 | 1417s
进度 12580/17922 | 输入 1904659 tok | 输出 1452794 tok | 费用 ¥4.8102 | 1420s
进度 12590/17922 | 输入 1906072 tok | 输出 1453890 tok | 费用 ¥4.8139 | 1420s
进度 12600/17922 | 输入 1907173 tok | 输出 1454695 tok | 费用 ¥4.8166 | 1421s
进度 12610/17922 | 输入 1908214 tok | 输出 1455429 tok | 费用 ¥4.8191 | 1421s
进度 12620/17922 | 输入 1909524 tok | 输出 1456392 tok | 费用 ¥4.8223 | 1422s
进度 12630/17922 | 输入 1912210 tok | 输出 1458645 tok | 费用 ¥4.8295 | 1422s
进度 12640/17922 | 输入 1913128 tok | 输出 1459240 tok | 费用 ¥4.8316 | 1424s
进度 12650/17922 | 输入 1913824 tok | 输出 1459616 tok | 费用 ¥4.8331 | 1424s
进度 12660/17922 | 输入 1914652 tok | 输出 1460128 tok | 费用 ¥4.8349 | 1425s
进度 12670/17922 | 输入 1915430 tok | 输出 1460585 tok | 费用 ¥4.8366 | 1425s
进度 12680/17922 | 输入 1916272 tok | 输出 1461077 tok | 费用 ¥4.8384 | 1425s
进度 12690/17922 | 输入 1916922 tok | 输出 1461421 tok | 费用 ¥4.8398 | 1426s
进度 12700/17922 | 输入 1918250 tok | 输出 1462365 tok | 费用 ¥4.8430 | 1426s
进度 12710/17922 | 输入 1918932 tok | 输出 1462756 tok | 费用 ¥4.8444 | 1426s
进度 12720/17922 | 输入 1919628 tok | 输出 1463150 tok | 费用 ¥4.8459 | 1428s
进度 12730/17922 | 输入 1920319 tok | 输出 1463535 tok | 费用 ¥4.8474 | 1428s
进度 12740/17922 | 输入 1921000 tok | 输出 1463913 tok | 费用 ¥4.8488 | 1428s
进度 12750/17922 | 输入 1921723 tok | 输出 1464361 tok | 费用 ¥4.8504 | 1429s
进度 12760/17922 | 输入 1922868 tok | 输出 1465200 tok | 费用 ¥4.8533 | 1430s
进度 12770/17922 | 输入 1924216 tok | 输出 1466208 tok | 费用 ¥4.8566 | 1431s
进度 12780/17922 | 输入 1925097 tok | 输出 1466769 tok | 费用 ¥4.8586 | 1431s
进度 12790/17922 | 输入 1925737 tok | 输出 1467130 tok | 费用 ¥4.8600 | 1432s
进度 12800/17922 | 输入 1926638 tok | 输出 1467768 tok | 费用 ¥4.8622 | 1432s
进度 12810/17922 | 输入 1927309 tok | 输出 1468142 tok | 费用 ¥4.8636 | 1433s
进度 12820/17922 | 输入 1928240 tok | 输出 1468746 tok | 费用 ¥4.8657 | 1433s
进度 12830/17922 | 输入 1928925 tok | 输出 1469127 tok | 费用 ¥4.8672 | 1433s
进度 12840/17922 | 输入 1929680 tok | 输出 1469566 tok | 费用 ¥4.8688 | 1434s
进度 12850/17922 | 输入 1930304 tok | 输出 1469882 tok | 费用 ¥4.8701 | 1434s
进度 12860/17922 | 输入 1930969 tok | 输出 1470264 tok | 费用 ¥4.8715 | 1435s
进度 12870/17922 | 输入 1931595 tok | 输出 1470597 tok | 费用 ¥4.8728 | 1435s
进度 12880/17922 | 输入 1932395 tok | 输出 1471073 tok | 费用 ¥4.8745 | 1436s
进度 12890/17922 | 输入 1933199 tok | 输出 1471569 tok | 费用 ¥4.8763 | 1436s
进度 12900/17922 | 输入 1933939 tok | 输出 1472007 tok | 费用 ¥4.8780 | 1437s
进度 12910/17922 | 输入 1934751 tok | 输出 1472529 tok | 费用 ¥4.8798 | 1437s
进度 12920/17922 | 输入 1935531 tok | 输出 1473006 tok | 费用 ¥4.8815 | 1438s
进度 12930/17922 | 输入 1936169 tok | 输出 1473358 tok | 费用 ¥4.8829 | 1439s
进度 12940/17922 | 输入 1937164 tok | 输出 1474032 tok | 费用 ¥4.8852 | 1439s
进度 12950/17922 | 输入 1938034 tok | 输出 1474587 tok | 费用 ¥4.8872 | 1439s
进度 12960/17922 | 输入 1938698 tok | 输出 1474930 tok | 费用 ¥4.8886 | 1439s
进度 12970/17922 | 输入 1939471 tok | 输出 1475391 tok | 费用 ¥4.8903 | 1440s
进度 12980/17922 | 输入 1940147 tok | 输出 1475771 tok | 费用 ¥4.8917 | 1440s
进度 12990/17922 | 输入 1940827 tok | 输出 1476166 tok | 费用 ¥4.8932 | 1441s
进度 13000/17922 | 输入 1941794 tok | 输出 1476817 tok | 费用 ¥4.8954 | 1444s
进度 13010/17922 | 输入 1942730 tok | 输出 1477428 tok | 费用 ¥4.8976 | 1444s
进度 13020/17922 | 输入 1943875 tok | 输出 1478261 tok | 费用 ¥4.9004 | 1444s
进度 13030/17922 | 输入 1945062 tok | 输出 1479141 tok | 费用 ¥4.9033 | 1444s
进度 13040/17922 | 输入 1945971 tok | 输出 1479735 tok | 费用 ¥4.9054 | 1444s
进度 13050/17922 | 输入 1947090 tok | 输出 1480516 tok | 费用 ¥4.9081 | 1444s
进度 13060/17922 | 输入 1948230 tok | 输出 1481328 tok | 费用 ¥4.9109 | 1449s
进度 13070/17922 | 输入 1949375 tok | 输出 1482165 tok | 费用 ¥4.9137 | 1449s
进度 13080/17922 | 输入 1950432 tok | 输出 1482891 tok | 费用 ¥4.9162 | 1449s
进度 13090/17922 | 输入 1951577 tok | 输出 1483738 tok | 费用 ¥4.9191 | 1449s
进度 13100/17922 | 输入 1952842 tok | 输出 1484704 tok | 费用 ¥4.9223 | 1450s
进度 13110/17922 | 输入 1954922 tok | 输出 1486463 tok | 费用 ¥4.9278 | 1453s
进度 13120/17922 | 输入 1956300 tok | 输出 1487490 tok | 费用 ¥4.9313 | 1454s
进度 13130/17922 | 输入 1957833 tok | 输出 1488674 tok | 费用 ¥4.9352 | 1457s
进度 13140/17922 | 输入 1959952 tok | 输出 1490542 tok | 费用 ¥4.9410 | 1460s
进度 13150/17922 | 输入 1961215 tok | 输出 1491452 tok | 费用 ¥4.9441 | 1460s
进度 13160/17922 | 输入 1963547 tok | 输出 1493296 tok | 费用 ¥4.9501 | 1460s
进度 13170/17922 | 输入 1964422 tok | 输出 1493885 tok | 费用 ¥4.9522 | 1461s
进度 13180/17922 | 输入 1965964 tok | 输出 1495092 tok | 费用 ¥4.9561 | 1461s
进度 13190/17922 | 输入 1968188 tok | 输出 1496902 tok | 费用 ¥4.9620 | 1462s
进度 13200/17922 | 输入 1969162 tok | 输出 1497582 tok | 费用 ¥4.9643 | 1464s
进度 13210/17922 | 输入 1970117 tok | 输出 1498220 tok | 费用 ¥4.9666 | 1464s
进度 13220/17922 | 输入 1971228 tok | 输出 1499006 tok | 费用 ¥4.9692 | 1466s
进度 13230/17922 | 输入 1972617 tok | 输出 1500085 tok | 费用 ¥4.9728 | 1468s
进度 13240/17922 | 输入 1974346 tok | 输出 1501483 tok | 费用 ¥4.9773 | 1468s
进度 13250/17922 | 输入 1975142 tok | 输出 1501975 tok | 费用 ¥4.9791 | 1471s
进度 13260/17922 | 输入 1976132 tok | 输出 1502617 tok | 费用 ¥4.9814 | 1472s
进度 13270/17922 | 输入 1977763 tok | 输出 1503922 tok | 费用 ¥4.9856 | 1472s
进度 13280/17922 | 输入 1980129 tok | 输出 1505892 tok | 费用 ¥4.9919 | 1473s
进度 13290/17922 | 输入 1981941 tok | 输出 1507334 tok | 费用 ¥4.9966 | 1475s
进度 13300/17922 | 输入 1982860 tok | 输出 1507896 tok | 费用 ¥4.9987 | 1475s
进度 13310/17922 | 输入 1983758 tok | 输出 1508489 tok | 费用 ¥5.0007 | 1476s
进度 13320/17922 | 输入 1984723 tok | 输出 1509115 tok | 费用 ¥5.0030 | 1477s
进度 13330/17922 | 输入 1985995 tok | 输出 1510033 tok | 费用 ¥5.0061 | 1478s
进度 13340/17922 | 输入 1989009 tok | 输出 1512596 tok | 费用 ¥5.0142 | 1480s
进度 13350/17922 | 输入 1990398 tok | 输出 1513651 tok | 费用 ¥5.0177 | 1481s
进度 13360/17922 | 输入 1991937 tok | 输出 1514910 tok | 费用 ¥5.0218 | 1482s
进度 13370/17922 | 输入 1993502 tok | 输出 1516171 tok | 费用 ¥5.0258 | 1482s
进度 13380/17922 | 输入 1994539 tok | 输出 1516867 tok | 费用 ¥5.0283 | 1482s
进度 13390/17922 | 输入 1995923 tok | 输出 1517907 tok | 费用 ¥5.0317 | 1483s
进度 13400/17922 | 输入 1996934 tok | 输出 1518602 tok | 费用 ¥5.0341 | 1484s
进度 13410/17922 | 输入 1998084 tok | 输出 1519411 tok | 费用 ¥5.0369 | 1486s
进度 13420/17922 | 输入 1998965 tok | 输出 1519973 tok | 费用 ¥5.0389 | 1486s
进度 13430/17922 | 输入 2000231 tok | 输出 1520865 tok | 费用 ¥5.0420 | 1486s
进度 13440/17922 | 输入 2001280 tok | 输出 1521569 tok | 费用 ¥5.0444 | 1486s
进度 13450/17922 | 输入 2002211 tok | 输出 1522195 tok | 费用 ¥5.0466 | 1487s
进度 13460/17922 | 输入 2003015 tok | 输出 1522687 tok | 费用 ¥5.0484 | 1487s
进度 13470/17922 | 输入 2003684 tok | 输出 1523064 tok | 费用 ¥5.0498 | 1489s
进度 13480/17922 | 输入 2004710 tok | 输出 1523718 tok | 费用 ¥5.0521 | 1490s
进度 13490/17922 | 输入 2005504 tok | 输出 1524214 tok | 费用 ¥5.0539 | 1490s
进度 13500/17922 | 输入 2006492 tok | 输出 1524887 tok | 费用 ¥5.0563 | 1490s
进度 13510/17922 | 输入 2007605 tok | 输出 1525698 tok | 费用 ¥5.0590 | 1491s
进度 13520/17922 | 输入 2008903 tok | 输出 1526672 tok | 费用 ¥5.0622 | 1493s
进度 13530/17922 | 输入 2009886 tok | 输出 1527324 tok | 费用 ¥5.0645 | 1493s
进度 13540/17922 | 输入 2010782 tok | 输出 1527927 tok | 费用 ¥5.0666 | 1495s
进度 13550/17922 | 输入 2011977 tok | 输出 1528871 tok | 费用 ¥5.0697 | 1495s
进度 13560/17922 | 输入 2013323 tok | 输出 1529820 tok | 费用 ¥5.0730 | 1498s
进度 13570/17922 | 输入 2014829 tok | 输出 1530950 tok | 费用 ¥5.0767 | 1500s
进度 13580/17922 | 输入 2015621 tok | 输出 1531431 tok | 费用 ¥5.0785 | 1501s
进度 13590/17922 | 输入 2018206 tok | 输出 1533512 tok | 费用 ¥5.0852 | 1502s
进度 13600/17922 | 输入 2019757 tok | 输出 1534673 tok | 费用 ¥5.0891 | 1502s
进度 13610/17922 | 输入 2021818 tok | 输出 1536346 tok | 费用 ¥5.0945 | 1504s
进度 13620/17922 | 输入 2022738 tok | 输出 1536952 tok | 费用 ¥5.0966 | 1506s
进度 13630/17922 | 输入 2026282 tok | 输出 1539701 tok | 费用 ¥5.1057 | 1506s
进度 13640/17922 | 输入 2027296 tok | 输出 1540382 tok | 费用 ¥5.1081 | 1507s
进度 13650/17922 | 输入 2028749 tok | 输出 1541468 tok | 费用 ¥5.1117 | 1507s
进度 13660/17922 | 输入 2029666 tok | 输出 1542047 tok | 费用 ¥5.1138 | 1510s
进度 13670/17922 | 输入 2030964 tok | 输出 1542993 tok | 费用 ¥5.1170 | 1510s
进度 13680/17922 | 输入 2033274 tok | 输出 1544854 tok | 费用 ¥5.1230 | 1510s
进度 13690/17922 | 输入 2034196 tok | 输出 1545441 tok | 费用 ¥5.1251 | 1511s
进度 13700/17922 | 输入 2035432 tok | 输出 1546323 tok | 费用 ¥5.1281 | 1512s
进度 13710/17922 | 输入 2036832 tok | 输出 1547292 tok | 费用 ¥5.1314 | 1512s
进度 13720/17922 | 输入 2037660 tok | 输出 1547785 tok | 费用 ¥5.1332 | 1513s
进度 13730/17922 | 输入 2038433 tok | 输出 1548228 tok | 费用 ¥5.1349 | 1513s
进度 13740/17922 | 输入 2039301 tok | 输出 1548756 tok | 费用 ¥5.1368 | 1513s
进度 13750/17922 | 输入 2040262 tok | 输出 1549338 tok | 费用 ¥5.1389 | 1515s
进度 13760/17922 | 输入 2041172 tok | 输出 1549891 tok | 费用 ¥5.1410 | 1516s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 1602 (char 1601); 1s 后重试
进度 13770/17922 | 输入 2042174 tok | 输出 1550580 tok | 费用 ¥5.1433 | 1517s
进度 13780/17922 | 输入 2043002 tok | 输出 1551086 tok | 费用 ¥5.1452 | 1518s
进度 13790/17922 | 输入 2044320 tok | 输出 1552107 tok | 费用 ¥5.1485 | 1519s
进度 13800/17922 | 输入 2045260 tok | 输出 1552721 tok | 费用 ¥5.1507 | 1519s
进度 13810/17922 | 输入 2045990 tok | 输出 1553160 tok | 费用 ¥5.1523 | 1520s
进度 13820/17922 | 输入 2048042 tok | 输出 1554784 tok | 费用 ¥5.1576 | 1522s
进度 13830/17922 | 输入 2049143 tok | 输出 1555514 tok | 费用 ¥5.1602 | 1522s
进度 13840/17922 | 输入 2050244 tok | 输出 1556279 tok | 费用 ¥5.1628 | 1524s
进度 13850/17922 | 输入 2052082 tok | 输出 1557755 tok | 费用 ¥5.1676 | 1526s
进度 13860/17922 | 输入 2054159 tok | 输出 1559362 tok | 费用 ¥5.1729 | 1528s
进度 13870/17922 | 输入 2056125 tok | 输出 1560852 tok | 费用 ¥5.1778 | 1528s
进度 13880/17922 | 输入 2058075 tok | 输出 1562466 tok | 费用 ¥5.1830 | 1533s
进度 13890/17922 | 输入 2059926 tok | 输出 1563902 tok | 费用 ¥5.1877 | 1535s
进度 13900/17922 | 输入 2062649 tok | 输出 1566230 tok | 费用 ¥5.1951 | 1535s
进度 13910/17922 | 输入 2065719 tok | 输出 1568864 tok | 费用 ¥5.2034 | 1535s
进度 13920/17922 | 输入 2067833 tok | 输出 1570550 tok | 费用 ¥5.2089 | 1538s
进度 13930/17922 | 输入 2070043 tok | 输出 1572373 tok | 费用 ¥5.2148 | 1538s
进度 13940/17922 | 输入 2071957 tok | 输出 1573908 tok | 费用 ¥5.2198 | 1541s
进度 13950/17922 | 输入 2073798 tok | 输出 1575389 tok | 费用 ¥5.2246 | 1543s
进度 13960/17922 | 输入 2075727 tok | 输出 1576917 tok | 费用 ¥5.2296 | 1544s
进度 13970/17922 | 输入 2078471 tok | 输出 1579187 tok | 费用 ¥5.2368 | 1547s
进度 13980/17922 | 输入 2079533 tok | 输出 1579901 tok | 费用 ¥5.2393 | 1547s
进度 13990/17922 | 输入 2080938 tok | 输出 1580954 tok | 费用 ¥5.2428 | 1548s
进度 14000/17922 | 输入 2083328 tok | 输出 1582933 tok | 费用 ¥5.2492 | 1548s
进度 14010/17922 | 输入 2084924 tok | 输出 1584117 tok | 费用 ¥5.2532 | 1551s
进度 14020/17922 | 输入 2085801 tok | 输出 1584698 tok | 费用 ¥5.2552 | 1551s
进度 14030/17922 | 输入 2086940 tok | 输出 1585460 tok | 费用 ¥5.2579 | 1551s
进度 14040/17922 | 输入 2087904 tok | 输出 1586133 tok | 费用 ¥5.2602 | 1552s
进度 14050/17922 | 输入 2089055 tok | 输出 1586963 tok | 费用 ¥5.2630 | 1553s
进度 14060/17922 | 输入 2092318 tok | 输出 1589722 tok | 费用 ¥5.2718 | 1553s
进度 14070/17922 | 输入 2093021 tok | 输出 1590148 tok | 费用 ¥5.2733 | 1554s
进度 14080/17922 | 输入 2093780 tok | 输出 1590619 tok | 费用 ¥5.2750 | 1554s
进度 14090/17922 | 输入 2094590 tok | 输出 1591123 tok | 费用 ¥5.2768 | 1555s
进度 14100/17922 | 输入 2095721 tok | 输出 1591950 tok | 费用 ¥5.2796 | 1557s
进度 14110/17922 | 输入 2097573 tok | 输出 1593428 tok | 费用 ¥5.2844 | 1562s
进度 14120/17922 | 输入 2099545 tok | 输出 1595061 tok | 费用 ¥5.2897 | 1563s
进度 14130/17922 | 输入 2101779 tok | 输出 1596908 tok | 费用 ¥5.2956 | 1563s
进度 14140/17922 | 输入 2104036 tok | 输出 1598754 tok | 费用 ¥5.3015 | 1566s
进度 14150/17922 | 输入 2105961 tok | 输出 1600311 tok | 费用 ¥5.3066 | 1567s
进度 14160/17922 | 输入 2108752 tok | 输出 1602680 tok | 费用 ¥5.3141 | 1568s
进度 14170/17922 | 输入 2110347 tok | 输出 1603904 tok | 费用 ¥5.3182 | 1574s
进度 14180/17922 | 输入 2112708 tok | 输出 1605886 tok | 费用 ¥5.3245 | 1574s
进度 14190/17922 | 输入 2115428 tok | 输出 1608209 tok | 费用 ¥5.3318 | 1574s
进度 14200/17922 | 输入 2117095 tok | 输出 1609552 tok | 费用 ¥5.3362 | 1575s
进度 14210/17922 | 输入 2118139 tok | 输出 1610260 tok | 费用 ¥5.3387 | 1578s
进度 14220/17922 | 输入 2120845 tok | 输出 1612655 tok | 费用 ¥5.3462 | 1579s
进度 14230/17922 | 输入 2122030 tok | 输出 1613531 tok | 费用 ¥5.3491 | 1579s
进度 14240/17922 | 输入 2123325 tok | 输出 1614528 tok | 费用 ¥5.3524 | 1580s
进度 14250/17922 | 输入 2124444 tok | 输出 1615331 tok | 费用 ¥5.3551 | 1580s
进度 14260/17922 | 输入 2128042 tok | 输出 1618518 tok | 费用 ¥5.3651 | 1581s
进度 14270/17922 | 输入 2129003 tok | 输出 1619183 tok | 费用 ¥5.3674 | 1582s
进度 14280/17922 | 输入 2129976 tok | 输出 1619870 tok | 费用 ¥5.3697 | 1583s
进度 14290/17922 | 输入 2131943 tok | 输出 1621435 tok | 费用 ¥5.3748 | 1588s
进度 14300/17922 | 输入 2134167 tok | 输出 1623283 tok | 费用 ¥5.3807 | 1591s
进度 14310/17922 | 输入 2136376 tok | 输出 1625166 tok | 费用 ¥5.3867 | 1591s
进度 14320/17922 | 输入 2138928 tok | 输出 1627303 tok | 费用 ¥5.3935 | 1593s
